jamb_score,study_hours_per_week,attendance_rate,teacher_quality,distance_to_school,school_type,school_location,extra_tutorials,access_to_learning_materials,parent_involvement,it_knowledge,age,gender,socioeconomic_status,parent_education_level,assignments_completed
159,25,80,1,7.9,Public,Rural,No,Yes,High,Low,21,Male,Medium,Tertiary,2
167,13,67,3,14.0,Public,Rural,Yes,Yes,Low,Low,21,Female,Medium,Secondary,1
141,5,82,3,8.7,Public,Rural,Yes,No,Medium,Medium,18,Male,Medium,Secondary,1
135,11,67,2,2.9,Public,Urban,No,Yes,Medium,High,19,Female,Low,Secondary,2
232,24,100,2,12.7,Public,Urban,No,Yes,Low,Low,22,Female,Medium,Primary,1
172,9,75,2,7.7,Private,Urban,No,Yes,Low,Medium,16,Male,Medium,Unknown,2
169,9,82,2,17.2,Private,Rural,Yes,No,Low,Medium,16,Male,Medium,Primary,1
167,38,86,3,0.0,Public,Rural,No,Yes,High,High,20,Male,Medium,Secondary,4
159,11,81,1,8.8,Public,Urban,Yes,Yes,Medium,Medium,21,Male,Low,Primary,1
204,19,83,2,11.8,Private,Urban,Yes,Yes,High,Low,16,Female,Medium,Tertiary,2
231,21,92,2,10.9,Public,Urban,No,Yes,Low,Medium,19,Male,Medium,Secondary,4
171,16,99,1,12.6,Public,Urban,Yes,Yes,Low,Low,21,Male,High,Primary,1
143,23,90,3,12.7,Private,Urban,Yes,No,High,Medium,19,Female,High,Tertiary,2
102,22,94,2,20.0,Public,Urban,No,Yes,Medium,Low,17,Male,Medium,Secondary,1
201,19,76,3,10.2,Public,Urban,Yes,No,High,Low,15,Female,Medium,Tertiary,1
101,2,83,1,11.5,Private,Urban,No,Yes,High,Low,16,Female,Low,Unknown,1
134,28,83,2,7.9,Public,Rural,No,Yes,High,High,17,Female,High,Secondary,2
129,15,85,3,13.1,Public,Urban,Yes,Yes,Low,Medium,19,Female,Medium,Secondary,1
121,31,94,5,14.5,Public,Urban,No,No,Low,Low,17,Male,Medium,Secondary,4
135,0,80,1,10.4,Public,Rural,No,Yes,Low,Low,21,Male,High,Tertiary,1
192,23,82,2,18.0,Public,Rural,Yes,Yes,High,Low,16,Male,Medium,Tertiary,1
154,35,88,3,9.5,Private,Urban,Yes,Yes,Low,Low,21,Male,Medium,Secondary,4
161,15,67,2,19.6,Public,Urban,No,Yes,Medium,Medium,22,Female,Medium,Primary,1
154,16,81,3,4.5,Public,Urban,Yes,No,High,Medium,15,Female,High,Tertiary,2
116,17,79,1,7.1,Public,Rural,No,Yes,Medium,Medium,22,Female,Medium,Tertiary,1
107,9,71,2,15.4,Public,Rural,Yes,No,Low,High,17,Male,Low,Primary,1
115,12,91,2,7.2,Private,Rural,Yes,Yes,Low,Low,19,Female,Medium,Secondary,2
122,12,71,3,10.0,Public,Urban,Yes,No,Low,High,18,Female,Low,Primary,1
104,8,79,1,15.9,Public,Urban,Yes,Yes,Medium,Medium,22,Female,High,Tertiary,1
164,30,86,2,20.0,Public,Urban,No,No,Low,Medium,20,Female,Medium,Secondary,1
120,19,94,3,9.0,Private,Rural,No,Yes,Low,High,18,Male,High,Tertiary,1
221,26,87,2,13.5,Public,Rural,No,No,High,High,17,Male,Low,Secondary,2
238,32,97,3,3.7,Public,Rural,No,Yes,High,High,19,Male,Medium,Primary,2
115,12,87,1,10.6,Private,Urban,Yes,Yes,High,Low,17,Male,Medium,Secondary,1
197,14,87,2,13.3,Public,Rural,Yes,No,Low,Low,22,Male,Low,Primary,1
235,19,78,3,0.1,Public,Rural,No,No,High,High,17,Female,Medium,Primary,1
165,19,70,1,7.1,Private,Urban,Yes,No,Medium,Medium,18,Female,High,Tertiary,2
101,4,81,2,20.0,Public,Urban,No,No,Medium,Medium,20,Male,Medium,Tertiary,1
172,15,79,3,12.5,Public,Rural,No,No,High,Medium,21,Male,Low,Unknown,3
166,14,93,2,17.1,Public,Rural,No,Yes,High,Medium,17,Female,Medium,Tertiary,1
122,35,88,3,14.6,Public,Urban,Yes,Yes,Low,Low,20,Female,Medium,Secondary,2
181,0,83,3,10.7,Public,Urban,No,Yes,High,Medium,21,Male,Low,Secondary,1
134,15,71,3,8.6,Private,Urban,Yes,No,Medium,High,18,Female,High,Tertiary,1
114,30,85,3,9.3,Private,Rural,Yes,No,Low,Medium,20,Female,Medium,Tertiary,2
111,15,71,2,5.2,Public,Urban,Yes,Yes,Low,Medium,21,Male,Medium,Primary,1
141,24,75,4,7.1,Public,Urban,No,Yes,Low,Medium,22,Male,Medium,Tertiary,1
144,18,73,3,7.4,Public,Urban,Yes,No,High,Low,22,Female,Medium,Primary,1
187,15,84,2,8.8,Public,Rural,Yes,Yes,High,Low,19,Male,Medium,Primary,4
177,0,96,4,3.4,Public,Rural,No,No,Medium,Medium,19,Male,Low,Primary,1
179,22,85,3,11.5,Private,Urban,No,No,Medium,Low,19,Female,Medium,Tertiary,3
213,16,83,2,11.0,Private,Urban,Yes,Yes,Low,Medium,20,Male,High,Primary,1
220,16,73,3,19.2,Private,Urban,Yes,No,High,High,18,Male,Medium,Secondary,1
276,24,96,4,3.5,Public,Rural,Yes,Yes,Low,Medium,16,Female,High,Tertiary,3
181,36,77,3,10.3,Private,Urban,Yes,Yes,Medium,High,20,Male,Medium,Secondary,2
181,40,86,4,0.0,Public,Rural,Yes,Yes,High,Low,16,Male,Low,Primary,3
124,17,78,3,12.6,Public,Rural,No,No,Medium,Medium,16,Male,Low,Primary,1
153,14,91,3,9.8,Public,Urban,No,No,Medium,Low,16,Female,High,Secondary,2
194,11,84,2,7.0,Public,Rural,No,Yes,Low,Low,21,Male,Medium,Secondary,2
179,24,84,2,15.6,Public,Rural,No,Yes,Low,High,19,Female,Medium,Secondary,1
151,34,87,2,8.4,Private,Urban,Yes,Yes,Medium,Low,16,Male,Medium,Primary,3
140,15,100,3,10.2,Public,Rural,Yes,No,Low,Low,21,Male,Medium,Primary,1
112,0,89,3,12.2,Private,Urban,Yes,Yes,Low,High,17,Male,Medium,Secondary,1
107,20,79,2,4.7,Public,Urban,No,Yes,Low,Medium,18,Female,High,Tertiary,1
167,28,84,3,14.7,Private,Urban,No,Yes,Medium,High,16,Male,Medium,Primary,3
203,8,81,3,8.3,Private,Urban,Yes,Yes,Medium,Low,19,Female,High,Secondary,1
211,24,78,2,2.1,Public,Urban,No,Yes,Medium,Low,22,Male,Medium,Secondary,2
195,25,80,4,13.4,Private,Rural,No,Yes,Medium,Medium,16,Female,High,Unknown,1
130,15,74,1,12.0,Public,Urban,No,No,Low,Medium,18,Female,High,Tertiary,1
117,8,87,4,0.0,Public,Urban,No,No,Low,Low,15,Female,Low,Unknown,1
205,31,76,3,7.2,Public,Rural,Yes,Yes,High,Low,15,Male,High,Tertiary,1
342,30,100,4,10.8,Public,Urban,Yes,Yes,Medium,High,20,Male,Medium,Tertiary,4
159,5,90,3,6.0,Private,Rural,Yes,No,Low,Medium,19,Male,Low,Secondary,1
130,0,82,3,13.4,Public,Rural,Yes,No,Low,Low,19,Male,Medium,Primary,1
218,35,87,3,17.5,Public,Rural,No,No,Low,High,19,Female,Low,Primary,4
224,29,82,4,2.4,Private,Rural,Yes,Yes,Low,Low,16,Female,Low,Unknown,2
210,23,89,2,15.2,Public,Urban,No,Yes,Medium,High,22,Male,Low,Secondary,1
130,12,92,3,0.0,Public,Urban,No,Yes,Low,High,22,Male,Medium,Unknown,1
172,15,77,1,12.5,Public,Urban,Yes,Yes,Medium,Medium,18,Male,High,Tertiary,1
108,4,66,2,0.0,Public,Urban,No,Yes,Low,Low,22,Male,Low,Secondary,1
208,18,93,3,16.6,Public,Urban,No,Yes,Low,Low,18,Female,High,Primary,2
106,0,83,3,5.5,Public,Urban,No,Yes,Low,Medium,22,Female,Low,Unknown,1
196,15,75,3,7.2,Public,Urban,No,Yes,Medium,Low,18,Female,High,Secondary,1
139,14,75,2,6.1,Public,Rural,No,No,High,Medium,15,Male,Medium,Tertiary,1
151,23,75,3,5.3,Public,Urban,No,Yes,Low,Medium,18,Male,Medium,Tertiary,2
235,24,81,2,11.9,Private,Urban,Yes,Yes,High,Low,19,Male,High,Primary,1
149,25,80,4,16.9,Public,Urban,Yes,No,High,High,21,Female,Low,Unknown,3
234,37,86,3,9.6,Private,Urban,No,Yes,Medium,High,16,Male,High,Unknown,3
191,31,79,1,8.7,Private,Urban,No,No,Medium,Low,15,Male,Low,Primary,3
170,24,77,1,12.4,Private,Urban,No,Yes,High,Medium,20,Male,High,Tertiary,2
185,21,83,3,8.4,Public,Urban,Yes,Yes,Low,Medium,16,Female,Low,Primary,2
154,9,85,2,8.5,Private,Urban,Yes,No,Low,High,17,Female,Low,Unknown,2
190,28,82,4,14.5,Private,Rural,Yes,Yes,Low,Low,22,Male,Low,Unknown,2
178,35,96,2,7.9,Public,Rural,Yes,Yes,Medium,High,21,Female,Low,Unknown,3
186,24,90,3,11.2,Public,Urban,No,Yes,Low,Low,19,Female,Medium,Secondary,3
238,40,73,2,12.9,Public,Rural,No,No,High,Low,15,Female,Medium,Primary,4
112,1,85,2,6.6,Public,Rural,Yes,No,Low,Medium,19,Male,Low,Unknown,1
299,19,98,5,12.6,Public,Urban,Yes,Yes,High,Low,16,Female,High,Secondary,4
152,25,79,1,12.6,Public,Rural,No,Yes,Low,High,22,Male,Low,Unknown,2
144,19,68,3,9.9,Public,Urban,Yes,No,Medium,Low,18,Male,Low,Primary,2
266,39,90,3,2.0,Private,Urban,Yes,Yes,Medium,High,22,Female,High,Secondary,5
210,22,86,3,8.6,Public,Urban,Yes,No,Medium,High,21,Female,Medium,Tertiary,1
151,10,72,3,7.5,Public,Urban,Yes,No,High,High,17,Female,Low,Unknown,2
225,22,74,2,11.0,Public,Urban,Yes,Yes,Medium,Medium,19,Female,Medium,Secondary,2
233,11,87,4,9.8,Public,Urban,No,Yes,Low,Medium,22,Male,Low,Primary,2
181,10,83,4,10.2,Public,Rural,No,No,High,Medium,22,Female,Medium,Tertiary,1
192,30,81,3,8.3,Private,Urban,No,Yes,Medium,High,17,Female,High,Tertiary,3
137,24,81,5,11.9,Public,Urban,No,Yes,Low,Low,16,Female,Low,Unknown,1
141,20,72,2,3.5,Public,Rural,Yes,Yes,Low,Low,22,Male,High,Secondary,1
163,3,79,3,12.0,Public,Urban,No,Yes,Medium,High,19,Male,Low,Unknown,1
108,11,85,3,19.4,Private,Urban,Yes,No,Medium,Low,18,Male,Low,Unknown,1
101,2,76,2,0.0,Private,Rural,Yes,No,Medium,Low,17,Female,Medium,Secondary,1
128,26,66,1,12.2,Public,Urban,Yes,Yes,Medium,Medium,22,Female,Low,Primary,3
249,21,85,1,2.5,Public,Rural,Yes,Yes,Low,High,15,Male,Low,Secondary,2
289,19,81,5,1.6,Private,Rural,Yes,Yes,Medium,Medium,20,Male,Medium,Secondary,2
174,20,87,2,5.2,Private,Urban,No,No,Medium,High,16,Female,Low,Unknown,3
107,8,83,2,11.7,Public,Urban,Yes,No,Medium,Low,19,Female,Medium,Secondary,1
171,33,68,1,8.6,Public,Rural,No,Yes,Low,High,15,Female,Medium,Secondary,4
216,16,94,4,16.0,Public,Urban,No,Yes,Low,Low,18,Male,Low,Secondary,2
223,11,77,2,0.0,Public,Rural,Yes,No,High,Low,18,Female,High,Secondary,1
168,0,99,2,14.4,Public,Rural,No,Yes,High,High,17,Male,Low,Unknown,1
164,18,83,3,11.4,Public,Rural,No,Yes,Medium,Medium,16,Female,Low,Primary,1
107,9,68,1,10.2,Public,Rural,Yes,No,Low,Low,20,Female,High,Tertiary,1
272,15,80,3,9.5,Private,Urban,Yes,No,Medium,Medium,19,Female,High,Tertiary,1
150,28,86,4,13.6,Private,Urban,Yes,No,Low,Medium,21,Female,Medium,Tertiary,2
223,30,84,3,2.3,Private,Rural,No,Yes,Medium,Low,22,Male,Medium,Tertiary,4
269,27,89,3,4.1,Private,Rural,No,Yes,High,Low,15,Female,High,Secondary,3
157,31,99,3,8.5,Private,Urban,Yes,Yes,Medium,Medium,19,Female,Medium,Secondary,2
199,28,79,2,11.8,Public,Rural,Yes,Yes,Low,Low,15,Male,Low,Secondary,3
114,7,81,4,5.2,Public,Urban,Yes,Yes,Medium,Medium,16,Male,Medium,Tertiary,1
127,6,95,1,12.9,Public,Rural,Yes,No,Medium,High,18,Male,Medium,Secondary,1
157,26,86,3,2.1,Public,Rural,Yes,Yes,Medium,Medium,18,Male,High,Tertiary,2
229,28,73,3,8.8,Private,Urban,Yes,Yes,High,Medium,19,Male,High,Secondary,3
107,16,85,3,4.4,Private,Rural,No,No,Low,Medium,19,Female,Low,Primary,1
237,17,77,4,9.9,Public,Rural,Yes,No,High,Low,17,Female,Medium,Secondary,1
247,31,100,3,8.8,Private,Rural,Yes,Yes,Medium,High,22,Female,Low,Primary,3
194,14,78,3,3.5,Private,Urban,No,Yes,Low,Medium,15,Female,Low,Primary,1
124,14,100,2,0.0,Public,Urban,Yes,No,Medium,Low,17,Female,High,Tertiary,1
178,33,98,1,2.0,Private,Urban,Yes,Yes,Medium,Low,15,Male,High,Tertiary,3
248,20,81,1,4.7,Public,Urban,No,Yes,Medium,Medium,16,Female,High,Secondary,1
203,8,86,2,6.7,Private,Urban,Yes,No,Low,Medium,19,Female,Medium,Secondary,1
140,7,89,2,12.9,Public,Rural,No,Yes,Low,Low,20,Female,Medium,Primary,1
161,28,91,1,8.6,Public,Urban,Yes,Yes,High,Medium,22,Female,Medium,Primary,3
109,16,84,3,15.4,Public,Urban,Yes,No,Low,Medium,15,Female,Medium,Secondary,1
111,13,92,2,8.7,Public,Urban,Yes,Yes,Low,Low,22,Male,Low,Primary,1
101,9,79,2,8.5,Public,Rural,No,Yes,High,Medium,18,Female,Low,Unknown,1
152,22,79,1,20.0,Public,Urban,No,Yes,Low,Low,22,Male,Medium,Secondary,1
115,7,77,2,10.4,Private,Rural,Yes,No,Low,Low,16,Female,High,Primary,1
197,24,94,1,7.6,Public,Urban,No,Yes,Low,Medium,22,Female,Low,Primary,1
214,16,90,3,10.0,Private,Rural,No,Yes,High,High,18,Female,High,Tertiary,1
217,15,90,3,7.7,Private,Urban,No,No,Medium,Low,16,Female,High,Primary,1
224,18,95,3,16.3,Public,Rural,Yes,No,Medium,High,15,Female,High,Secondary,1
177,16,65,1,13.9,Public,Urban,No,Yes,Medium,Medium,18,Male,Low,Unknown,2
188,20,88,3,4.5,Public,Rural,Yes,Yes,Low,Medium,21,Female,Medium,Secondary,2
229,26,90,2,9.4,Public,Urban,Yes,Yes,Medium,High,20,Female,Low,Secondary,2
143,0,98,2,8.6,Public,Urban,Yes,No,Low,High,20,Female,Medium,Primary,1
245,18,74,4,12.0,Public,Rural,Yes,Yes,High,Medium,15,Female,Medium,Secondary,2
270,24,100,5,8.9,Public,Urban,No,No,High,Medium,17,Female,High,Primary,4
231,38,89,3,20.0,Public,Rural,Yes,No,High,Low,16,Male,Low,Primary,3
138,7,87,1,6.0,Public,Urban,No,Yes,Low,High,19,Female,Low,Primary,1
146,19,98,2,1.0,Public,Urban,Yes,No,Low,High,18,Male,Medium,Secondary,2
212,36,92,4,15.0,Private,Rural,Yes,Yes,Medium,High,22,Male,Medium,Tertiary,1
207,10,90,3,14.4,Public,Urban,No,Yes,Medium,Low,20,Female,High,Secondary,1
106,17,82,5,8.5,Public,Rural,No,Yes,Medium,Medium,15,Female,High,Tertiary,4
231,17,83,2,1.8,Public,Rural,No,Yes,High,Low,18,Male,Medium,Secondary,1
221,19,87,3,9.5,Public,Rural,Yes,Yes,High,Low,22,Male,Low,Primary,3
188,13,78,4,16.1,Private,Rural,Yes,Yes,Low,High,15,Female,Medium,Primary,1
128,9,81,4,11.5,Public,Urban,Yes,No,Medium,High,22,Male,Low,Unknown,3
101,38,58,1,16.0,Public,Rural,No,No,Medium,Low,22,Male,Medium,Secondary,3
214,31,91,3,13.0,Public,Urban,Yes,No,Medium,Low,17,Male,Medium,Primary,2
249,36,88,4,10.7,Public,Rural,Yes,Yes,Medium,Low,19,Female,High,Tertiary,2
222,28,84,5,14.2,Public,Urban,Yes,No,High,High,18,Female,High,Tertiary,2
176,5,86,3,13.9,Public,Rural,No,No,Medium,Medium,21,Male,High,Secondary,1
136,20,68,2,10.0,Public,Rural,No,Yes,Low,Medium,18,Female,Low,Primary,1
155,28,100,1,9.1,Public,Urban,Yes,Yes,Medium,Medium,15,Female,High,Tertiary,3
118,7,80,4,17.9,Public,Urban,No,Yes,High,Medium,15,Female,Medium,Unknown,1
229,33,86,4,7.4,Private,Urban,Yes,No,High,Low,18,Female,Medium,Primary,1
124,22,72,1,12.5,Public,Urban,No,Yes,Low,Low,20,Female,High,Secondary,3
107,31,80,2,7.0,Public,Rural,No,Yes,Medium,Medium,17,Female,Low,Secondary,1
115,11,94,2,6.6,Public,Rural,No,No,Low,Medium,18,Male,Medium,Secondary,1
104,4,90,3,13.5,Public,Urban,Yes,No,Low,Low,16,Female,Low,Primary,1
103,10,88,1,7.6,Public,Urban,No,Yes,Low,Medium,21,Male,Low,Primary,1
231,37,93,2,13.7,Public,Rural,No,Yes,Medium,Low,21,Male,High,Tertiary,2
197,5,82,1,3.0,Public,Urban,Yes,No,Low,Medium,20,Male,Low,Primary,1
209,4,73,4,13.7,Public,Urban,Yes,No,High,Low,21,Male,Low,Tertiary,1
145,18,81,2,8.5,Private,Urban,Yes,No,High,Medium,21,Male,Low,Secondary,2
126,12,79,3,11.5,Private,Rural,Yes,Yes,Medium,Low,22,Male,Low,Primary,1
112,14,90,3,15.9,Public,Urban,Yes,Yes,Low,Medium,16,Female,Low,Primary,1
135,25,85,2,5.8,Public,Rural,Yes,Yes,Low,Medium,18,Male,High,Secondary,3
275,23,100,3,12.0,Public,Rural,Yes,Yes,Low,High,22,Male,High,Tertiary,2
111,0,92,2,19.4,Private,Urban,Yes,Yes,Low,Low,17,Male,Medium,Secondary,2
113,33,76,2,20.0,Private,Urban,Yes,No,High,Low,20,Female,Low,Primary,3
152,9,66,4,14.7,Public,Urban,Yes,Yes,Medium,High,15,Female,Low,Unknown,1
174,10,97,3,3.0,Public,Rural,Yes,No,Low,Low,20,Male,Low,Secondary,2
194,31,98,2,3.3,Private,Urban,Yes,No,Low,Medium,21,Male,Low,Secondary,3
155,15,70,3,13.9,Private,Rural,Yes,No,High,High,15,Female,Medium,Primary,2
157,18,98,4,12.1,Public,Urban,No,Yes,Medium,Low,18,Female,Medium,Primary,1
103,18,83,1,13.1,Public,Rural,Yes,Yes,Medium,Low,19,Female,Low,Unknown,1
123,25,83,4,17.4,Public,Rural,No,Yes,Medium,Low,15,Female,Low,Unknown,1
225,21,100,3,14.3,Public,Rural,No,No,Low,Medium,16,Female,Medium,Tertiary,2
184,34,98,3,4.9,Public,Rural,Yes,No,High,Medium,22,Female,Medium,Primary,2
320,12,100,4,5.8,Public,Urban,Yes,No,Low,Medium,16,Male,Low,Secondary,1
295,37,96,3,7.3,Private,Urban,No,Yes,High,High,19,Male,Medium,Primary,2
156,10,89,3,17.0,Public,Rural,No,Yes,Low,High,21,Male,Low,Secondary,1
116,27,77,2,10.1,Private,Urban,No,No,Low,Medium,21,Male,High,Primary,1
103,15,79,1,20.0,Public,Urban,No,Yes,High,Medium,19,Male,Medium,Primary,1
102,7,71,1,6.5,Public,Urban,Yes,Yes,Medium,Low,21,Female,Low,Secondary,1
215,29,84,3,8.2,Public,Rural,Yes,Yes,Medium,Medium,21,Male,Low,Unknown,2
203,30,83,2,16.6,Public,Urban,Yes,Yes,Medium,Low,16,Female,High,Secondary,2
223,29,81,4,1.2,Public,Rural,Yes,No,Low,Medium,18,Male,Low,Primary,1
181,11,86,4,19.1,Public,Urban,Yes,Yes,High,High,21,Male,Low,Unknown,1
159,14,80,4,7.4,Public,Urban,No,Yes,Medium,High,18,Male,Medium,Secondary,2
148,17,87,2,7.4,Public,Rural,Yes,Yes,Low,Low,18,Male,Low,Secondary,2
182,20,69,3,16.2,Public,Urban,No,No,Low,Low,16,Female,High,Secondary,1
244,32,88,2,9.4,Public,Rural,Yes,Yes,Low,Low,19,Male,Medium,Secondary,2
157,0,84,3,18.5,Public,Rural,No,Yes,Medium,Low,21,Male,High,Primary,1
130,19,79,3,20.0,Private,Rural,Yes,Yes,Low,Low,17,Male,Low,Primary,1
118,12,79,3,16.1,Public,Urban,No,Yes,Low,Low,16,Female,Low,Tertiary,2
199,14,71,4,12.9,Public,Urban,Yes,No,High,Low,16,Female,Low,Primary,1
248,19,92,2,5.9,Public,Rural,No,Yes,Low,Low,15,Female,Medium,Secondary,2
117,13,87,2,10.3,Public,Rural,Yes,Yes,Low,Low,18,Male,Medium,Unknown,1
191,0,90,3,9.3,Public,Rural,Yes,Yes,Low,Medium,15,Female,Medium,Primary,1
174,13,94,2,15.2,Private,Urban,No,No,Low,Medium,21,Male,Low,Primary,1
144,9,84,2,13.0,Public,Urban,No,Yes,Medium,High,20,Male,Low,Primary,1
205,27,91,3,14.4,Public,Urban,No,Yes,Medium,Medium,20,Male,Low,Primary,2
146,10,84,2,16.6,Private,Urban,Yes,No,Low,Medium,22,Female,High,Unknown,1
205,20,93,4,12.7,Public,Urban,No,Yes,Low,Low,21,Female,High,Tertiary,3
174,34,69,1,9.6,Public,Rural,Yes,No,Low,Low,16,Male,Low,Unknown,4
189,30,77,4,12.8,Public,Rural,Yes,No,Low,Medium,20,Female,Low,Primary,3
160,27,98,3,11.8,Public,Urban,No,No,Low,Low,16,Male,Low,Secondary,2
102,9,56,1,7.2,Public,Urban,No,Yes,Low,Medium,16,Male,Low,Secondary,1
298,35,91,2,11.2,Public,Urban,Yes,No,Medium,High,17,Female,High,Tertiary,3
169,17,95,1,16.9,Public,Rural,Yes,Yes,High,Medium,22,Male,High,Primary,2
150,16,82,2,7.4,Private,Rural,No,No,Low,Medium,15,Male,Low,Secondary,1
141,21,78,3,9.0,Public,Rural,Yes,No,Medium,Medium,19,Male,Low,Primary,1
125,10,82,2,8.8,Public,Urban,Yes,Yes,Low,Medium,18,Male,Medium,Secondary,1
192,35,82,4,6.6,Public,Urban,No,No,Medium,Medium,18,Female,Low,Unknown,3
183,19,85,2,7.6,Public,Rural,Yes,No,High,Medium,17,Male,Low,Secondary,3
173,25,78,3,9.9,Public,Urban,No,Yes,Medium,Low,15,Male,Medium,Secondary,1
199,35,96,2,0.0,Public,Urban,No,Yes,Low,Low,18,Female,Low,Primary,3
203,31,100,2,16.2,Private,Rural,No,No,Low,Medium,16,Female,Medium,Tertiary,3
238,12,87,3,12.3,Public,Rural,Yes,Yes,High,Low,21,Female,Low,Unknown,1
100,17,67,1,5.8,Public,Urban,No,No,Low,High,22,Female,Low,Unknown,2
199,29,81,1,9.0,Public,Urban,No,Yes,Low,Low,15,Male,Low,Unknown,1
153,26,81,2,6.3,Public,Urban,No,Yes,High,Low,20,Female,Low,Primary,2
243,15,93,3,8.4,Private,Urban,Yes,Yes,Medium,Medium,18,Female,Low,Unknown,1
230,18,78,4,2.4,Public,Rural,No,No,High,High,15,Male,Medium,Secondary,2
188,30,78,3,15.0,Public,Rural,Yes,Yes,Low,Medium,17,Male,Medium,Tertiary,3
129,9,86,3,3.6,Public,Urban,No,Yes,Low,Low,19,Female,Medium,Secondary,1
241,22,97,4,3.3,Private,Urban,Yes,Yes,Medium,Medium,19,Male,Low,Unknown,3
227,38,82,3,15.6,Public,Urban,No,Yes,Medium,Medium,15,Male,High,Tertiary,3
227,24,75,2,6.2,Private,Rural,Yes,Yes,Low,High,17,Female,Low,Secondary,1
109,8,100,2,10.9,Public,Rural,No,Yes,Medium,Medium,18,Male,Medium,Tertiary,1
230,16,95,3,12.5,Public,Rural,Yes,Yes,Medium,High,22,Female,Low,Primary,1
176,23,82,4,19.6,Public,Rural,Yes,Yes,Low,Low,16,Male,Medium,Secondary,1
208,10,95,3,14.8,Public,Urban,No,Yes,Medium,Low,22,Female,Low,Primary,1
155,16,82,4,6.6,Public,Urban,Yes,Yes,Low,High,21,Female,Low,Primary,1
267,30,98,2,4.8,Public,Rural,No,Yes,Medium,Medium,15,Male,Medium,Secondary,3
156,30,85,2,11.3,Public,Urban,No,Yes,Low,Low,21,Male,Low,Secondary,4
149,24,84,3,6.1,Public,Urban,Yes,Yes,Medium,Medium,15,Female,Medium,Secondary,3
106,7,79,3,5.9,Public,Rural,No,No,Low,Medium,18,Male,Low,Primary,1
214,34,73,3,8.8,Private,Urban,No,Yes,High,Medium,16,Male,High,Primary,4
260,24,100,3,12.8,Public,Rural,No,Yes,Medium,Low,16,Male,Low,Primary,3
114,3,72,3,8.4,Public,Urban,No,No,Medium,Low,18,Male,Medium,Secondary,2
120,14,68,1,8.1,Public,Rural,Yes,Yes,High,Medium,15,Female,Low,Primary,1
243,38,87,4,5.8,Public,Rural,No,Yes,Low,Low,22,Male,Low,Primary,4
113,16,71,1,6.2,Public,Urban,Yes,Yes,Medium,Medium,21,Male,Low,Primary,1
157,18,83,1,17.1,Private,Rural,No,Yes,Low,Medium,22,Male,High,Secondary,2
168,34,90,2,12.7,Public,Rural,No,Yes,High,High,18,Female,High,Tertiary,2
189,8,95,4,19.5,Public,Rural,Yes,Yes,High,High,19,Male,Low,Primary,1
248,14,97,4,5.4,Public,Urban,Yes,Yes,High,High,22,Female,Low,Primary,3
188,6,82,3,10.9,Private,Urban,No,Yes,Low,Medium,21,Male,Low,Primary,1
111,18,81,2,8.5,Public,Rural,Yes,Yes,Low,High,18,Male,Medium,Primary,1
140,18,86,2,17.9,Private,Rural,No,Yes,Low,Medium,17,Female,Medium,Unknown,1
253,40,73,2,2.0,Public,Urban,No,Yes,Medium,High,22,Male,Medium,Secondary,4
170,21,89,1,16.1,Public,Rural,Yes,No,Low,Low,15,Male,Low,Unknown,2
132,12,68,2,6.5,Public,Urban,Yes,Yes,Low,Low,20,Female,Low,Unknown,1
160,18,100,4,9.5,Public,Rural,Yes,Yes,Medium,Medium,20,Male,Medium,Tertiary,1
227,25,84,3,10.4,Public,Urban,Yes,Yes,High,High,17,Male,Low,Primary,3
140,2,80,3,11.7,Public,Urban,No,Yes,Low,Medium,22,Male,Low,Secondary,1
148,40,75,4,13.5,Private,Rural,Yes,No,High,High,15,Female,Medium,Unknown,4
169,24,78,3,3.4,Public,Urban,No,Yes,Low,Low,22,Male,Medium,Tertiary,3
233,26,100,3,9.3,Public,Urban,Yes,Yes,Low,Low,15,Female,High,Tertiary,2
184,26,94,2,16.4,Public,Rural,Yes,Yes,High,High,19,Male,Low,Secondary,2
221,30,73,5,11.4,Public,Rural,Yes,Yes,Medium,Medium,18,Male,High,Secondary,1
165,18,98,3,9.4,Public,Rural,Yes,No,High,Medium,22,Female,High,Primary,3
215,17,98,2,5.0,Public,Rural,No,Yes,Medium,High,20,Female,Medium,Tertiary,1
138,22,79,1,13.5,Public,Rural,Yes,Yes,High,High,18,Male,Low,Unknown,1
187,24,88,4,12.6,Public,Urban,No,Yes,Low,Low,20,Female,Low,Primary,2
137,9,82,1,10.3,Public,Urban,Yes,Yes,Medium,High,21,Female,Low,Primary,1
109,27,99,4,6.2,Private,Urban,Yes,Yes,High,Low,20,Female,Low,Tertiary,3
162,21,76,1,17.1,Public,Urban,No,No,Low,Medium,20,Male,High,Secondary,1
131,23,83,4,7.9,Public,Urban,Yes,Yes,Low,Low,19,Female,Medium,Primary,1
219,36,83,3,11.9,Public,Urban,Yes,No,Low,Low,19,Male,Low,Primary,2
167,19,70,3,11.7,Public,Urban,Yes,No,High,Medium,16,Male,High,Tertiary,3
185,23,100,2,0.0,Public,Rural,No,Yes,Medium,Low,17,Female,Medium,Secondary,1
289,36,80,5,9.8,Private,Rural,Yes,Yes,Medium,Low,15,Male,Medium,Secondary,4
185,14,87,3,6.0,Private,Rural,Yes,Yes,High,Medium,21,Female,Low,Unknown,2
